2026-02-09 19:14:26 | INFO     | system               | log_startup_info | ============================================================
2026-02-09 19:14:26 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-09 19:14:26 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-09 19:14:26 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-09 19:14:26 | INFO     | system               | log_startup_info | ============================================================
2026-02-09 19:18:25 | INFO     | system               | log_startup_info | ============================================================
2026-02-09 19:18:25 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-09 19:18:25 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-09 19:18:25 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-09 19:18:25 | INFO     | system               | log_startup_info | ============================================================
2026-02-09 19:18:28 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-09 19:19:09 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 39.167s
2026-02-09 19:19:09 | WARNING  | system               | log_request     | GET /dm - Status: 500 - Duration: 0.006s
2026-02-09 19:19:09 | WARNING  | system               | log_request     | GET /favicon.ico - Status: 404 - Duration: 0.000s
2026-02-09 19:32:23 | INFO     | system               | log_startup_info | ============================================================
2026-02-09 19:32:23 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-09 19:32:23 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-09 19:32:23 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-09 19:32:23 | INFO     | system               | log_startup_info | ============================================================
2026-02-09 19:32:26 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-09 19:33:08 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 40.688s
2026-02-09 19:33:08 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.006s
2026-02-09 19:34:00 | INFO     | system               | log_request     | POST /combat - Status: 200 - Duration: 0.001s
2026-02-09 19:35:14 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 3.106s
2026-02-09 19:35:35 | INFO     | system               | log_request     | POST /oracle - Status: 200 - Duration: 9.378s
2026-02-09 19:38:17 | INFO     | system               | log_request     | GET /journal/summary - Status: 200 - Duration: 0.000s
2026-02-09 19:38:37 | INFO     | system               | log_request     | POST /roll - Status: 200 - Duration: 0.001s
2026-02-09 19:38:38 | INFO     | system               | log_request     | POST /roll - Status: 200 - Duration: 0.001s
2026-02-10 07:08:30 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 07:08:30 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-10 07:08:30 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-10 07:08:30 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-10 07:08:30 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 07:08:32 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-10 07:09:16 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 42.941s
2026-02-10 07:09:16 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.006s
2026-02-10 07:17:30 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 07:17:30 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-10 07:17:30 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-10 07:17:30 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-10 07:17:30 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 07:17:33 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-10 07:18:13 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 38.488s
2026-02-10 07:18:13 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.006s
2026-02-10 19:55:05 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 19:55:05 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-10 19:55:05 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-10 19:55:05 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-10 19:55:05 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 19:55:07 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-10 19:55:54 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 45.850s
2026-02-10 19:55:54 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.006s
2026-02-10 19:59:50 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 19:59:50 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-10 19:59:50 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-10 19:59:50 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-10 19:59:50 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 19:59:52 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-10 20:00:24 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 30.588s
2026-02-10 20:00:24 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.006s
2026-02-10 20:22:57 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 20:22:57 | INFO     | system               | log_startup_info | 🎲 CRONISTA V80 - Sistema de Logging Inicializado
2026-02-10 20:22:57 | INFO     | system               | log_startup_info | Nivel de Log: INFO
2026-02-10 20:22:57 | INFO     | system               | log_startup_info | Directorio de Logs: /home/matiascorderoflores/Machine Learning/DnD El Cronista/logs
2026-02-10 20:22:57 | INFO     | system               | log_startup_info | ============================================================
2026-02-10 20:23:00 | INFO     | system               | log_request     | GET / - Status: 200 - Duration: 0.002s
2026-02-10 20:24:02 | INFO     | system               | log_request     | GET /new - Status: 200 - Duration: 60.973s
2026-02-10 20:24:02 | INFO     | system               | log_request     | GET /dm - Status: 200 - Duration: 0.007s
