2026-02-16 20:20:50 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Secreto de las Ruinas de Sombraluna
2026-02-16 20:31:31 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:32:33 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:34:57 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:36:18 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 20:36:18 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Ascenso Infinito
2026-02-16 20:37:34 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:37:34 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:41:21 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:42:27 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 20:42:27 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Torre Infinita: Ecos de Desiertos Olvidados
2026-02-16 20:47:05 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:48:12 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 20:48:12 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Ciudad del Titán Muerto
2026-02-16 20:53:02 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 20:54:11 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 20:54:11 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Ciénaga de los Susurros
2026-02-16 21:00:20 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 21:01:22 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 21:01:22 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Ciudad del Titán Muerto
2026-02-16 21:09:40 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 21:10:45 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 21:10:45 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Cráneo del Titán
2026-02-16 21:22:14 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 21:23:18 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 21:23:18 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Sinfonía del Bosque de Cristal
2026-02-16 21:30:40 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 21:31:49 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-16 21:31:49 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Las Islas Flotantes de Eón
2026-02-16 22:18:03 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 22:26:36 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 22:27:55 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 22:28:52 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
