2026-02-19 16:36:35 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:46:45 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:49:32 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:50:12 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:51:03 | INFO     | comfy_client         | _load_workflows | Workflows cargados: ['map_v1.json', 'map', 'portrait', 'default']
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:52:50 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
2026-02-19 16:54:13 | ERROR    | comfy_client         | queue_prompt    | Error enviando prompt a ComfyUI: <urlopen error [Errno 111] Connection refused>
